,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,Title
0,0,3,1,1,0,0,0,0,2,0,1
1,1,1,0,2,0,3,1,1,2,0,3
2,1,3,0,1,0,1,0,0,1,1,4
3,1,1,0,2,0,3,0,1,2,0,3
4,0,3,1,2,0,1,0,0,1,1,1
5,0,3,1,1,0,1,2,0,1,1,1
6,0,1,1,3,0,3,0,1,1,1,1
7,0,3,1,0,1,2,0,0,5,0,2
8,1,3,0,1,2,1,0,0,3,0,3
9,1,2,0,0,0,2,1,0,2,0,3
10,1,3,0,0,1,2,0,1,3,0,4
11,1,1,0,3,0,2,0,1,1,1,4
12,0,3,1,1,0,1,0,0,1,1,1
13,0,3,1,2,5,3,0,0,7,0,1
14,0,3,0,0,0,0,0,0,1,1,4
15,1,2,0,3,0,2,0,0,1,1,3
16,0,3,1,0,1,2,2,0,6,0,2
17,1,2,1,2,0,1,0,0,1,1,1
18,0,3,0,1,0,2,0,0,2,0,3
19,1,3,0,1,0,0,1,0,1,1,3
20,0,2,1,2,0,2,0,0,1,1,1
21,1,2,1,2,0,1,0,1,1,1,1
22,1,3,0,0,0,1,2,0,1,1,4
23,1,1,1,1,0,3,0,1,1,1,1
24,0,3,0,0,1,2,0,0,5,0,4
25,1,3,0,2,5,3,0,0,7,0,3
26,0,3,1,1,0,0,1,0,1,1,1
27,0,1,1,1,2,3,0,1,6,0,1
28,1,3,0,2,0,0,2,0,1,1,4
29,0,3,1,2,0,0,0,0,1,1,1
30,0,1,1,2,0,2,1,0,1,1,5
31,1,1,0,1,0,3,1,1,2,0,3
32,1,3,0,1,0,0,2,0,1,1,4
33,0,2,1,66,0,1,0,0,1,1,1
34,0,1,1,1,0,3,1,0,2,0,1
35,0,1,1,2,0,3,0,0,2,0,1
36,1,3,1,2,0,0,1,0,1,1,1
37,0,3,1,1,0,1,0,0,1,1,1
38,0,3,0,1,0,2,0,0,3,0,4
39,1,3,0,0,0,1,1,0,2,0,4
40,0,3,0,2,0,1,0,0,2,0,3
41,0,2,0,1,0,2,0,0,2,0,3
42,0,3,1,1,0,0,1,0,1,1,1
43,1,2,0,0,2,3,1,0,4,0,4
44,1,3,0,1,0,0,2,0,1,1,4
45,0,3,1,2,0,1,0,0,1,1,1
46,0,3,1,0,0,2,2,0,2,0,1
47,1,3,0,1,0,0,2,0,1,1,4
48,0,3,1,2,0,2,1,0,3,0,1
49,0,3,0,1,0,2,0,0,2,0,3
50,0,3,1,0,1,3,0,0,6,0,2
51,0,3,1,1,0,0,0,0,1,1,1
52,1,1,0,3,0,3,1,1,2,0,3
53,1,2,0,1,0,2,0,0,2,0,3
54,0,1,1,65,1,3,1,1,2,0,1
55,1,1,1,2,0,3,0,1,1,1,1
56,1,2,0,1,0,1,0,0,1,1,4
